what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596707915
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596707927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596710048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596725929
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596727210
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596748099
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400596748115
opened,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596750266
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596750281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596770281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596777619
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400596784466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596784787
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596789726
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596789739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596815435
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596815495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400596815506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596819705
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596823843
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400596823858
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596829154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596857956
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596857971
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596869674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596872715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596877916
opened,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596900235
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596900256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596900287
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596910549
closed,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596910569
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596921410
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400596922484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596932224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596938663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596958153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596978915
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400596982937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596991194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400596998973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400597000898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400597000939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400597000946
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400597005993
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400597037167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400597044006
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400597046848
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400597051219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400597059781
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1400597060636
